id,owner,name,full_name,url,clone_url,default_branch,description,stars,forks,created_at,last_fetched_at
f622bc97-f9f9-434e-8c66-43ac7ce237e5,Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,https://api.github.com/repos/Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,master,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",175988,45780,2023-03-16T09:21:07+00:00,2025-06-09T17:49:06.007913
dbb5eecd-fde7-45db-8469-1bff4f545064,huggingface,transformers,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,https://github.com/huggingface/transformers.git,main,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",145359,29276,2018-10-29T13:56:00+00:00,2025-06-09T17:49:26.831640
b4489426-385f-44d4-97b5-772b9ca0d42d,521xueweihan,HelloGitHub,521xueweihan/HelloGitHub,https://api.github.com/repos/521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub.git,master,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",116635,10369,2016-05-04T06:24:11+00:00,2025-06-09T17:48:51.376991
f3f9cdb6-a833-4634-9003-7e5e3cd324f3,fastapi,fastapi,fastapi/fastapi,https://api.github.com/repos/fastapi/fastapi,https://github.com/fastapi/fastapi.git,master,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",86051,7455,2018-12-08T08:21:47+00:00,2025-06-09T17:49:03.707102
