id,owner,name,full_name,url,clone_url,default_branch,description,stars,forks,created_at,last_fetched_at
c960f9ef-8435-408c-9ff4-a5b51a2fa19b,Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,https://api.github.com/repos/Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,master,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",175989,45781,2023-03-16T09:21:07+00:00,2025-06-09T19:56:14.851538
5b6c1eb6-4170-47e4-baaa-d0c4872e35ed,huggingface,transformers,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,https://github.com/huggingface/transformers.git,main,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",145360,29278,2018-10-29T13:56:00+00:00,2025-06-09T19:56:55.533329
bf3ac25d-c9f1-41dc-84f7-abee38b9910b,521xueweihan,HelloGitHub,521xueweihan/HelloGitHub,https://api.github.com/repos/521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub.git,master,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",116662,10369,2016-05-04T06:24:11+00:00,2025-06-09T19:57:35.372692
4052dee8-563f-4240-b9b2-4716e64ae233,pytorch,pytorch,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,https://github.com/pytorch/pytorch.git,main,Tensors and Dynamic neural networks in Python with strong GPU acceleration,90667,24387,2016-08-13T05:26:41+00:00,2025-06-09T19:58:12.269275
